שם             	ענף בבורסה                                	כתובת                                      	טלפון       	פקס        	אתר הבית                       	דואר אלקטרוני                     	שם מלא                                      	מספר מנפיק	מספר תאגיד
סטאר נייט      	הייטק - טכנולוגיה - ביטחוניות             	גרניט 11, קרית אריה, פתח תקוה              	073-2324501 	03-7606900 	www.star-ds.com                	tals@star-ds.com                  	סטאר נייט טכנולוגיות בעמ                    	220       	520033259
סיאי           	הייטק - טכנולוגיה - אלקטרוניקה ואופטיקה   	תד 147, מגדל-העמק                          	04-6448888  	04-6543570 	www.ci-systems.com             	cis@ci-systems.com                	סי אי סיסטמס (ישראל) בעמ                    	442       	520039280
סיירן          	הייטק - טכנולוגיה - תוכנה ואינטרנט        	ספיר 1, הרצליה                             	09-8636888  	09-8636863 	www.cyren.com                  	mike.myshrall@cyren.com           	סיירן בעמ                                   	2155      	520044181
סיליקום        	הייטק - טכנולוגיה - ציוד תקשורת           	הנגר 8, כפר סבא                            	09-7644555  	09-7651977 	www.silicom.co.il              	paulina@silicom.co.il             	סיליקום בעמ                                 	2107      	520041120
סינאל מלל      	הייטק - טכנולוגיה - תוכנה ואינטרנט        	תד 142, יוקנעם עילית                       	04-9596777  	04-9890484 	www.synel.co.il                	sharonw@synel.co.il               	סינאל מלל פייווי בעמ                        	1115      	511416612
סינמה יהש(ש)   	ריאלי - מסחר ושרותים - תקשורת ומדיה       	שאול המלך 16, הרצליה                       	09-9581422  	09-9583896 	                               	frontesther@gmail.com             	סינמה נאמנויות השקעות בסרטים-שותפות מוגבלת  	269       	550011381
סינרג'י כבלים  	ריאלי - תעשיה - מתכת ומוצרי בניה          	תד 102, שדרות                              	08-6809444  	08-6890014 	www.synergy-cables.co.il       	orenz@synergy-cables.co.il        	סינרג'י כבלים בעמ                           	778       	520025271
סלע קפיטל נדלן 	ריאלי - נדלן ובינוי - נדלן ובינוי         	ז'בוטינסקי 7, רמת גן                       	03-5759222  	03-6131659 	www.sellacapital.com           	dror@sellacapital.com             	סלע קפיטל נדלן בעמ                          	1514      	513992529
סלקום          	ריאלי - מסחר ושרותים - תקשורת ומדיה       	הגביש 10, נתניה                            	052-9989595 	09-8607986 	www.cellcom.co.il              	liatme@cellcom.co.il              	סלקום ישראל בעמ                             	2066      	511930125
סלקט ביומד     	הייטק - ביומד - ביוטכנולוגיה              	סלקט ביו טכנו', התעש 20, כפר סבא           	09-9741444  	09-9741444 	www.cellectbio.com             	shai@cellectbio.com               	סלקט ביומד בעמ                              	241       	520036484
סנו            	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	אזור תעשיה, נוה נאמן ב' 10, הוד-השרון      	09-7473222  	09-7473233 	www.sano.co.il                 	david@sano.co.il                  	סנו-מפעלי ברונוס בעמ                        	813       	520032988
סנטראל יורופיאן	ריאלי - נדלן ובינוי - נדלן ובינוי         	PROVINCIALEWEG 14, WESTZAAN                	361-3276050 	361-3276051	www.cee-development.com        	jenya@premium-holdings.com        	סנטראל יורופיאן אסטייטס אנ.וי               	1491      	0
ספאנטק         	ריאלי - תעשיה - עץ, נייר ודפוס            	תד 3328, טבריה עלית                        	04-6758100  	04-6372370 	www.spuntech.com               	tomer-d@spuntech.com              	נ.ר. ספאנטק תעשיות בעמ                      	1182      	512288713
ספיץ' מודולס   	הייטק - טכנולוגיה - תוכנה ואינטרנט        	יעבץ 33, תל אביב                           	052-4688648 	03-7948859 	www.speechmodules.com          	tals@speechmodules.com            	ספיץ' מודולס אחזקות בעמ                     	1007      	520041948
ספנסר אקוויטי  	ריאלי - נדלן ובינוי - נדלן ובינוי         	                                           	            	           	                               	                                  	ספנסר אקוויטי גרופ לימיטד                   	1628      	0
ספקטרוניקס     	הייטק - טכנולוגיה - אלקטרוניקה ואופטיקה   	אזור תעשיה חדש, תד 29, שדרות               	08-6875444  	08-6899178 	                               	avim@spectronix.co.il             	ספקטרוניקס בעמ                              	568       	520033630
סקופ           	ריאלי - מסחר ושרותים - מסחר               	פארק תעשיות ראם, תד 3, בני עייש            	08-8631000  	08-8631020 	www.scope-metal.com            	info@scope.co.il                  	קבוצת סקופ מתכות בעמ                        	288       	520037425
סקורפיו        	ריאלי - נדלן ובינוי - נדלן ובינוי         	מדינת היהודים 85, הרצליה                   	09-9710720  	09-9710785 	                               	office@scorpio-re.com             	סקורפיו נדלן בעמ                            	1402      	513886317
סקייליין       	ריאלי - נדלן ובינוי - נדלן ובינוי         	אצל מישורים, השילוח 4, פתח תקוה            	03-7217800  	03-7217801 	www.skylineinvestments.com     	rami@mishorim.com                 	סקייליין אינטרנאשיונל דיוולופמנט אינק       	1613      	0
סקיילקס        	ריאלי - מסחר ושרותים - תקשורת ומדיה       	הרכבת 8, פתח תקוה                          	03-9057730  	03-9300424 	www.scailex.com                	contact_us@scailex.com            	סקיילקס קורפוריישן בעמ                      	2009      	520031808
סרגון          	הייטק - טכנולוגיה - ציוד תקשורת           	ראול וולנברג 24, תל-אביב                   	03-5431000  	03-5431600 	www.ceragon.com                	nisanb@ceragon.com                	סרגון נטוורקס בעמ                           	2185      	512352444
